source1_entity_id	matched_entity_ids
S1-831223	S2-865089279,S2-751602916,S3-86621300,S3-827473298,S3-790457985
S1-754922	S2-276221883,S3-654472500,S3-332131944
S1-371926	S3-504359114,S3-366122891,S3-191847521
S1-423663	S2-354549162,S2-305968688,S2-810428812,S3-737339042
S1-148273	S3-393795641
S1-745224	S2-536695003,S3-892644326,S3-678539569,S3-25848910,S3-396714884,S3-643495415
S1-540833	S2-547683283,S3-33952109,S3-833093247,S3-659558338,S3-520082517
S1-23728	S2-337632833,S3-92993305,S3-799837328,S3-915608649
S1-247259	S2-154866899,S2-749389763,S3-632827178,S3-470694595
S1-772753	S2-957959770,S3-713867847,S3-289065535
S1-721781	S2-587735795,S2-961241135,S2-835666830,S3-120711571,S3-93954648
S1-114862	S2-99610226,S2-674378992,S2-183936277,S3-63698081
S1-11354	S2-397386782,S2-421221313,S3-910145537,S3-483025586,S3-916790694
S1-570740	S2-874786844
S1-682262	S2-802865559,S2-517365366,S3-174593369,S3-949142555
S1-416486	S2-650967307,S2-267366343,S3-984764314
S1-398707	S3-633484393,S3-94026561
S1-455594	S2-296710380
S1-30786	S2-526230943,S2-547012719,S2-657998229,S2-990572429,S3-135440099
S1-244549	S2-682332963,S2-95719214,S3-94870682
S1-229547	S2-352510843
S1-691057	S2-326306730,S3-603363911,S3-917224333,S3-832756382
S1-92085	S2-225253305,S3-463050368
S1-264330	S2-642640492,S2-312346772,S2-42647420,S3-482132364,S3-365900893,S3-729382026,S3-618610174
S1-491572	S2-571660200,S2-733103728,S2-729653194
S1-247020	S2-215875682,S2-188169355,S3-371149768
S1-420347	S2-331910503,S3-364166059
S1-359048	S3-693267261,S3-397568837
S1-713407	S2-478369698,S3-675010546,S3-507189265
S1-581700	S3-572160489
S1-403992	S2-840246068,S2-461367190,S2-795615161
S1-162886	S3-162770843
S1-554109	S2-388551913,S3-454684938,S3-7064337
S1-269192	S3-575501613,S3-281210978
S1-221645	S2-105447674,S2-630472203,S3-433226111,S3-388339842
S1-571807	S2-618312551,S2-846624750,S3-252502021,S3-541278851,S3-899867715
S1-596316	S2-762204401,S2-154569200,S3-284424966,S3-517589231
S1-332802	S3-943365982,S3-74426979,S3-466873322
S1-705743	S3-798656428,S3-585573732,S3-37172851,S3-705461141
S1-565880	S2-702922668,S2-426825375,S3-396670942
S1-538109	S2-872607279,S3-631959875,S3-233107034
S1-837687	S2-164546188,S2-379548583,S3-45701173,S3-286493082,S3-969800343,S3-26739130
S1-597527	S2-101974555,S2-841524098,S2-948817988,S3-418841584
S1-470766	S2-457810357,S3-505460847
S1-290998	S2-952468464,S2-627361897,S3-427780179
S1-785088	S2-590422212,S2-153771787,S3-863280339
S1-126881	S2-102195620,S2-453503936,S3-386735313,S3-995232041
S1-164205	S2-952277173,S3-768478393
S1-527711	S2-513986670,S2-715755382,S3-951878143,S3-872615760
S1-164661	S2-603404792,S2-6314578,S3-669744381
S1-324854	S2-543365020,S2-984667826,S2-945592133,S2-806860855,S3-507365470
S1-329001	S2-312185990,S2-447069285,S3-238887286
S1-557064	S2-582622292,S2-154636456,S3-859697351
S1-225156	S2-988228913,S2-226459299,S2-626722369,S3-855267710,S3-350143131
S1-539110	S2-665127462,S2-759325994,S2-84869795,S3-75824725
S1-217229	S2-66282693,S2-227677734,S2-569489531,S3-108368622
S1-706078	S2-589641959,S2-185020620,S3-597877169,S3-571794152
S1-142000	S2-612193947,S2-66233778,S3-837808361
S1-263986	S2-799388262,S2-488702733,S3-384598410
S1-384183	S2-274470649,S2-219340409,S2-856221239,S3-145540953
S1-795301	S2-520497469
S1-595774	S3-444306121
S1-54806	S2-850700647,S2-478584337,S3-795126056,S3-703771118,S3-724125672,S3-626260435
S1-686218	S2-652771111,S2-786198728
S1-669099	S2-228767111,S3-622971371
S1-635491	S2-86668208,S2-63779372,S2-122527108,S2-982895642,S3-298023748,S3-364019675,S3-134388222
S1-692219	S2-649105001,S3-759584178,S3-420292692,S3-18044366
S1-833952	S2-635504829,S2-812867346,S2-825753063,S3-925183014
S1-701878	S2-653630985,S2-339116789,S3-246538966
S1-373233	S2-388814641,S2-528627240,S3-39461496,S3-102900003,S3-86122178,S3-461301152,S3-615967433
S1-306226	S2-486891363,S2-994115219,S3-323998963,S3-826408488
S1-126389	S2-484046420,S3-462337828
S1-372737	S2-210468006,S2-728703247,S3-6473734
S1-312484	S2-345377605,S3-362288202
S1-438217	S2-474617212,S3-873383879
S1-152868	S2-261721991,S3-470470509
S1-319952	S2-366927064,S2-485607095,S2-637190706,S3-301080002
S1-603541	
S1-821587	S2-539008510
S1-280909	S2-191013925,S2-614019071,S3-785802186
S1-73414	S2-925163124,S2-366814706,S3-846622360,S3-765612017,S3-839092631
S1-726104	S2-271166709,S2-447528804,S2-763487374,S3-978105561
S1-569558	S2-667866120,S3-790315684,S3-410113084,S3-544542753
S1-62823	S2-134735629,S2-746656453,S3-112050911,S3-533871123,S3-996421970
S1-534136	S2-526482510,S2-637038667
S1-607933	S2-819353268,S2-617683070,S2-380270150,S3-428710265
S1-362946	S2-224245955,S2-250503008,S2-490003792,S3-68039942,S3-728475141
S1-440469	S2-538322311,S2-964200038,S3-727470928
S1-616992	S2-459757128,S2-845208371
S1-847862	S2-385076650,S2-501434286,S3-140511624,S3-330716238,S3-824973284
S1-805464	S2-502268839,S3-957023281,S3-46264907,S3-617233172
S1-175552	S2-844423015,S2-755474037,S3-524775035,S3-732576217
S1-586905	S2-986984341,S2-558604473,S2-527498666,S2-530610986,S3-163164774
S1-79037	S2-573482152,S2-41072706,S2-674148319,S2-490285477,S3-89208611,S3-960271534
S1-756562	S2-673832666,S2-760808825,S3-495087941,S3-390807602,S3-122206101,S3-90996919,S3-940277884
S1-483169	S2-788197653,S3-450792224,S3-78477674,S3-879960765,S3-264708666
S1-89979	
S1-659	S2-481821949,S3-195394165
S1-492038	S2-11061569,S2-863052305,S3-656207473
S1-284927	S3-680976392
S1-119838	S2-509224099,S3-144910600
S1-709766	S3-940381838,S3-849969241
S1-296001	S2-955664134,S3-694302501
S1-44775	S3-952143947,S3-875333614
S1-231096	S3-170413901,S3-742480168
S1-676480	S2-598394326,S3-770611474,S3-207223817
S1-439822	S2-535958856,S3-560356522,S3-539081973
S1-509825	S2-329422569,S3-816403804,S3-820459432,S3-141232954,S3-778205188,S3-806084155
S1-278379	
S1-407616	S2-615808122,S3-267034459,S3-739379411,S3-885031877
S1-188620	S2-769821420,S2-240785354,S2-870049158,S3-312636450
S1-365443	S3-805447303
S1-425225	S2-350823905,S2-844302212,S2-760146352,S2-891165615,S3-505089242,S3-105218917,S3-885183071
S1-429426	S2-851685631,S3-498418404,S3-536016101,S3-440911555
S1-326391	S2-121981175,S2-226354778,S3-292494068,S3-27754725
S1-690870	S2-817403472,S2-131176620,S2-993441881,S3-54933837,S3-410676317
S1-844822	S2-316751133,S2-461365629,S3-949743540,S3-152495560
S1-626314	S2-906478919,S2-270317526,S2-885133863,S2-444136513,S3-734929886,S3-166421893,S3-128150569
S1-349630	S2-142287591,S2-94435453,S2-457924031,S2-371775305,S3-426415205,S3-182267620
S1-707046	S2-735943045,S3-287883883
S1-768285	S2-873284849,S3-523420473,S3-624317544,S3-486299804
S1-677469	S2-881805646,S3-228366576
S1-167659	S2-248125426,S3-31441751,S3-851641947,S3-198654650
S1-47049	S2-438810429,S2-86884777,S3-870447883,S3-497868522,S3-256965633,S3-283845643
S1-572260	S2-536394981,S3-39674836
S1-138651	S2-241204934,S2-234350952,S3-613125869,S3-11663396
S1-392219	
S1-229193	S2-324636430,S3-283597759,S3-102924734
S1-460045	S2-777619062
S1-690758	S2-434398791,S2-473064866,S3-439530986,S3-827448249
S1-435127	S2-740337210,S2-793946500,S2-854800005,S3-580990099,S3-338781570
S1-499755	S2-697537868,S2-336893190,S3-663960749,S3-582872000
S1-415189	S2-548583344,S2-870425238,S3-661723582,S3-532971501
S1-62585	S2-942901173,S3-240359989,S3-782041286,S3-550017241
S1-485816	S3-404215203,S3-956965883,S3-470462794
S1-4393	S2-228664430,S3-757048092,S3-863823341
S1-653191	S2-882447049,S2-750686102
S1-728260	S2-75453797,S2-654907315,S3-113588394,S3-880555960,S3-589914457
S1-384165	S2-549793700,S3-553154693,S3-495841668,S3-518055411
S1-275839	S2-264881272,S2-547141334,S3-317838423,S3-569318147
S1-762498	S2-450505794,S2-561795028,S3-860805398,S3-579884624
S1-503837	S3-57015378
S1-183369	S2-61181154,S3-988371030
S1-424521	S2-166242778,S3-465317390
S1-736549	S2-728623003,S2-177214853,S3-195549307,S3-902512793
S1-182522	S2-52502198,S2-782792597,S3-465958428,S3-385338555,S3-802395277,S3-779263313
S1-324193	S2-726526223,S2-426533301,S2-958443496,S3-225006453,S3-758423874,S3-888034464
S1-263315	S2-600943956,S3-222837317,S3-87319313
S1-788724	S2-330162368,S2-801226617,S3-328842218
S1-717612	S2-55886258,S3-295089109
S1-275444	S2-513869180,S3-623734003,S3-475041585
S1-678936	S2-975242870,S3-178087562
S1-353747	S2-442167622,S2-981638844,S2-575293554,S3-308613863,S3-42555203
S1-68955	S2-470547224,S2-838161700,S3-41762890,S3-708761759,S3-623654808,S3-922227311
S1-224269	S2-347095184,S2-166617062,S3-264272079,S3-14852778
S1-571824	S2-937805560,S2-322537723,S3-278025982
S1-169600	S2-693131093,S3-922309888,S3-213871350,S3-949759266,S3-407456813
S1-52964	S2-511645614,S3-663899786,S3-907277416,S3-268430096,S3-394727745
S1-758685	S2-261120462,S2-123229271,S3-274075925,S3-153983151,S3-243163403
S1-180703	S2-462776451,S2-229877468,S3-582497115
S1-6350	S2-394172910,S3-796876088
S1-25768	S2-512810352,S2-915770822,S2-548241145,S3-64298246
S1-70893	
S1-728305	S2-903544187,S3-414003589,S3-172440331,S3-937128545
S1-687022	S2-864233135,S3-867108130,S3-819352383
S1-744629	S2-162904817,S3-393842518,S3-960138231,S3-20028494
S1-17112	S2-183123482,S2-779259312
S1-444998	S2-877560513,S3-916516564
S1-787578	S2-684373813,S3-811192042,S3-441731270,S3-962293266
S1-517297	S2-9676728,S2-775237357,S2-529368771,S2-479147737,S3-444871381,S3-791452890,S3-666111142,S3-17423406,S3-398633490,S3-739896795
S1-804645	S2-781405922,S2-718693422,S2-541538647,S2-943364098,S2-5557119,S3-508719367,S3-27405512,S3-256048013
S1-137382	S2-529820969,S3-957212670,S3-90167584
S1-820213	
S1-180150	S2-653766572,S3-467639339,S3-229339376
S1-635778	S2-813774031,S2-334005027,S2-127133461,S3-81975936,S3-289630769,S3-651986043
S1-348642	S2-370586306,S2-432547036,S2-98885862,S3-535892913,S3-947861527
S1-824670	S3-86602711
S1-212817	S2-342143505,S3-410982399,S3-466669814
S1-659281	S2-184493322,S2-858019556,S3-634702829,S3-174226915,S3-902551939
S1-533704	S2-520768201,S2-914630773,S3-875338924
S1-378829	S2-744214796,S2-968757095,S3-830259913,S3-25496086
S1-198802	S2-571984756,S3-279123343,S3-785419195,S3-675017775
S1-302681	S2-255681419,S3-509788687
S1-223128	S2-280869643,S3-61015940
S1-342704	S2-919103608,S2-106209939,S2-85459684,S3-911393722,S3-625447876,S3-211393765,S3-25279280
S1-801773	S2-466856925,S2-498910630,S2-253122361,S3-713204969
S1-154396	S2-931340812,S2-283106480,S3-43454444,S3-695984133,S3-672068003,S3-970504943
S1-151517	S2-258334175,S2-241171129,S3-382408198,S3-56522381,S3-792583911
S1-28440	S2-763227373,S2-51403947,S3-518619824
S1-5735	
S1-338435	S2-340309159,S3-320305174
S1-14025	S2-558656376,S2-465945500,S3-649496909
S1-397794	S2-652885317,S2-304885260,S3-774615721
S1-180436	S2-255121870,S2-384159592,S3-852056291,S3-810848981
S1-443588	S2-292198411
S1-427691	S2-224602786,S2-269976955,S3-313796512
S1-325201	S2-569908268,S3-172170703,S3-516992061,S3-141403398
S1-24996	S2-320579601,S3-387745228
S1-661596	S2-283330430,S3-982328232,S3-220505150
S1-802322	S2-573234956,S3-211128879,S3-629321366
S1-845054	S2-924371925,S3-843054243,S3-805383386
S1-521649	S2-525991347,S2-843356637,S3-78584432
S1-737365	
S1-580843	
S1-812395	
S1-321762	S2-100927920,S3-689178145,S3-682446759,S3-683703857
S1-9918	S2-49125304,S2-945264763,S3-303620212,S3-622392293
S1-456999	S2-674629858,S2-606686248,S3-846734945,S3-909575380
S1-202919	S2-920715079,S3-787176079,S3-658635479
S1-301925	S2-640095714,S2-852983793,S3-654879626,S3-158784596,S3-569979796
S1-736104	S2-759344860,S2-71269737,S3-993804114,S3-803344994
S1-350242	S2-222050197,S2-335825355,S3-800750874
S1-494487	S3-311989993,S3-339099496,S3-38119310
S1-540339	S2-289259272,S2-777526863
S1-806629	S2-704433052,S2-282181474,S3-826647562,S3-72336610,S3-707489709
S1-428955	S2-955262898,S3-278831804
S1-713580	S2-739684567
S1-851826	S2-441501707,S2-551051371,S2-91033870,S3-351022910,S3-856082209,S3-695127191
S1-243517	S2-320910015,S3-5323214,S3-163504248
S1-644574	S2-816093838,S2-527157139,S3-972350060
S1-586542	S3-63479858
S1-453841	S2-832828550,S2-604161535,S3-610991943,S3-937091033
S1-771773	S2-529591081,S2-505462056,S2-977565602,S2-562502393,S3-582326979
S1-792954	S2-637066811,S2-868013339,S3-520063520,S3-416728787,S3-532347765,S3-724151564
S1-611235	S2-800448593,S3-588007522,S3-924078801,S3-852703926
S1-365944	S2-341560616,S2-816965007,S2-920740149,S3-896978788
S1-821071	S2-352187473,S2-725402610,S3-817847943,S3-820198926,S3-867893014
S1-173985	S2-187526789,S3-307372281,S3-537138852,S3-296745681
S1-113513	S2-975894457,S2-422583067,S2-84456769,S3-841056694,S3-421279192,S3-17133697
S1-332716	S2-224273002,S2-203448113,S2-569634032,S2-102466649,S3-154333572,S3-991341658
S1-179558	S2-588263080,S2-459626775
S1-288941	S2-576187867,S2-807510112,S2-953224503,S2-368565140,S3-7828839,S3-506061460
S1-427581	S3-167471498,S3-45499911,S3-902224145
S1-808029	S3-626213505,S3-605021793
S1-618063	S2-276982831,S3-944881849,S3-198186754,S3-492371301,S3-103449967
S1-645022	S2-458161103,S3-266637317
S1-385156	S2-607585088,S3-569574019
S1-605631	S2-86707907,S3-647497496,S3-846606114
S1-820547	S2-3896112,S3-535364572,S3-696618100
S1-50475	S2-92072379,S2-40336277,S2-579901632,S3-564550656,S3-168024805,S3-404626035
S1-211420	S2-502028788,S2-420213211,S2-194834220,S3-277297101
S1-487665	S2-963781969,S2-674907286,S2-711431023,S3-728330093,S3-442587389
S1-125752	S2-620877283,S2-493866261,S2-152776850
S1-410564	S2-908668476,S3-559850468,S3-366243981,S3-533021913
S1-358751	S2-262869780,S2-963480470,S3-223690396
S1-679483	S2-917733874,S3-988587013
S1-805329	S2-399805006,S3-709869795,S3-984676419,S3-550025226,S3-719998487,S3-810298429
S1-64834	S2-820626521,S3-544625682,S3-601485717,S3-839140021,S3-852200096
S1-168317	S2-373438122,S2-89397664,S3-238464521
S1-624222	S2-351134666,S2-221911413,S2-807082296,S2-851126781,S2-356788615,S3-696817077,S3-317653435
S1-419914	S2-248494384,S3-979971750,S3-713030241
S1-58990	S2-69577755,S2-565536529,S2-28355395,S2-885545239,S3-616191864,S3-602595429,S3-116690829
S1-759964	S2-437829461,S3-651846262
S1-537408	S2-464991000,S2-748119975,S3-564951206
S1-793496	S2-445371657,S3-944971338
S1-104651	S2-526356058,S3-770828666,S3-251517636,S3-928684968
S1-496153	S2-123023802,S2-733450357,S2-61712065,S3-164760150,S3-421609809,S3-544431500,S3-310335948,S3-238986468
S1-829207	S2-448993252,S2-770365472,S3-839613169
S1-597041	S2-354486174,S3-195115822,S3-742110136,S3-969807362
S1-824073	S2-111023168,S2-952615167
S1-681888	S2-206458011,S3-824095205,S3-695793408,S3-952386215
S1-321826	S2-59337245,S2-924706666,S2-981355185,S3-764340799,S3-191396379
S1-740664	S2-516657615,S3-600499464,S3-749588737,S3-148318744,S3-479701130
S1-354211	S2-782766007,S2-715509316,S3-503996838
S1-66139	S2-474229608,S3-431733175,S3-963933639,S3-370264748
S1-601021	S2-558169021,S2-830770944,S2-874729586,S3-349476044
S1-338235	
S1-148311	S2-15920582,S3-22636573,S3-2400586,S3-832942448,S3-903420471
S1-427050	S2-193249217,S2-263347980,S3-407845635,S3-91039033,S3-40391515
S1-227189	S2-904157272,S2-393367188,S3-30024371,S3-240400926,S3-144852221
S1-381144	S2-613972862,S2-385124141,S2-865863299,S3-248082795,S3-265337473
S1-369576	S2-726007406,S2-399996968,S2-590553365,S3-836864423,S3-913428042
S1-543729	S2-235970808,S2-214300192,S2-341489678,S3-609864259,S3-618810232
S1-377947	S2-353218559,S2-965624965,S3-958319122
S1-790713	S2-417484658,S3-819828576
S1-132414	S2-552489447,S2-164135420
S1-375391	S3-833619011
S1-662681	S2-838700849,S3-886631598
S1-705119	S2-402291835
S1-815321	S2-718946211,S2-581762909,S3-424157471
S1-824921	S3-320024169,S3-21872362,S3-968501457
S1-211353	
S1-99821	S2-598212988,S2-571543715,S2-327669411,S3-692815971,S3-589999431
S1-63460	S2-933628652,S3-290722948,S3-819363512
S1-245805	S2-886771796,S2-818343006,S3-57668982
S1-671554	S2-738149252,S2-185549861,S3-997269991
S1-350628	S2-51798606,S3-886998731
S1-4359	S2-331627583
S1-779754	S2-353430462,S2-926357977,S3-28254676,S3-234099613,S3-652848750
S1-359975	S3-55782701,S3-676669112,S3-585390685
S1-297182	S2-409472362,S2-454038716,S2-969543444,S3-589504310,S3-460676379
S1-118998	S2-279808487,S2-105950999,S3-623533271,S3-167065936
S1-1782	S2-422747242,S2-484472533,S2-863153050,S3-95946178,S3-12418255
S1-69761	S2-974867366,S2-392724580,S2-763543730,S2-847515220,S2-740195506,S3-672497183
S1-744602	S2-719399540,S2-682860590
S1-185850	S2-504046284,S2-626895885,S3-324886672,S3-134712385
S1-192890	S2-384267207,S2-787412283,S2-188980566,S3-389269126,S3-922017806
S1-458988	S2-49523411,S2-146134545,S2-332553931,S3-733065979
S1-226521	S2-316443668,S3-932447857,S3-888721819
S1-59249	S2-191570850,S2-198453718,S3-428307904
S1-381973	S2-946878255,S2-435935123,S2-124175565,S3-566688739
S1-192584	S2-64125985,S2-884061556,S2-119528351,S3-444589820,S3-449062495,S3-193736871,S3-424403252
S1-540291	S2-503046332,S3-632024725,S3-625303534,S3-214573179
S1-378696	S2-200025453,S2-858059606,S2-365311413,S3-118174367,S3-273542246,S3-700642748
S1-223763	S2-341739792,S2-850936848,S2-798859952,S3-168023832,S3-964226847,S3-805979732
S1-434702	S3-466991652,S3-216848633
S1-167846	S2-331641018,S2-551449051,S2-905593021,S3-958987661
S1-29053	S2-89679392,S2-813181863,S3-876561213,S3-949996866,S3-172558764,S3-720088174
S1-539575	S2-943403166,S3-305343381,S3-569833417
S1-100536	S2-625653301,S2-638805782,S2-704015836,S3-653167812
S1-589846	S2-247593927
S1-570847	S2-123787803,S3-994217872,S3-348196328,S3-322357186
S1-272199	S2-131687097,S2-932472441,S2-845934353,S3-859310035
S1-803473	S2-496211953
S1-448373	S2-446892818,S3-809396023
S1-442709	S2-849404435,S2-685479663,S3-204308416
S1-686092	S2-192808216,S3-698530765
S1-799744	S2-242947136,S2-699173277,S3-33817619,S3-176871011,S3-811432734
S1-422592	S2-977890881
S1-293083	S2-833430085,S2-584518958,S3-774228443,S3-184700399,S3-13827445
S1-818594	S2-520434814,S2-182930283,S3-567287812
S1-562146	
S1-433504	S2-69974214,S2-673607603,S2-951298601,S2-61707548,S3-530614272
S1-645495	
S1-20923	S2-870245478,S3-293200880,S3-799268823
S1-136656	S2-114249473,S2-828664614,S3-781215697,S3-14208625
S1-180611	S2-323187800,S2-600793051,S2-931138490,S3-601465324
S1-271535	S2-129442427,S2-973899871,S3-91253511,S3-407338806
S1-618061	
S1-617521	S2-813679276,S2-967972826,S3-362838575,S3-64054853,S3-434331913
S1-649146	S2-37726424,S2-368294431,S2-73074175,S3-103044938,S3-610135729
S1-13711	S2-828138551,S2-194155516,S2-212746790,S3-483217334
S1-61899	S2-388465034,S3-431640172,S3-784161080
S1-736222	S2-877314646
S1-409583	S2-505043454,S3-790789078,S3-376421133,S3-339085497
S1-731408	S2-449344666,S3-172746739,S3-196678440
S1-4605	S2-991830047,S3-687647678
S1-775732	S2-571249599,S3-643576621
S1-91546	
S1-732314	S2-398792137,S3-172929919,S3-754479724
S1-114660	S2-682791881,S2-273378271,S2-680458473,S3-822664353,S3-57748735,S3-157247128,S3-627970721
S1-560379	S2-9539209,S2-882861000,S3-414562488,S3-931464040,S3-776616057
S1-349817	S2-294202215,S3-381739592,S3-273204669
S1-788092	S2-257874432,S3-321227904,S3-268625643,S3-457690302,S3-874709852,S3-266781110
S1-708379	S2-175154196,S2-518551658
S1-549396	S2-257997316,S3-61967311,S3-453056378
S1-675737	S2-380691483,S3-767200095,S3-854215531
S1-604149	S2-987817912,S2-657694486,S3-675185167
S1-319957	
S1-655578	S2-199335125,S3-321769302,S3-762414541,S3-879883283,S3-491763142
S1-546134	
S1-100365	S2-244046139,S2-299363211,S2-226226348,S3-939504233,S3-82666604
S1-517416	S3-918514740,S3-285920076,S3-110284595
S1-178209	S2-916800271,S2-342184208,S2-106200383,S3-647510356
S1-74402	S2-543564898,S3-354431033,S3-655591334
S1-834059	S2-98760798,S3-930509052
S1-749170	S2-897111492,S3-24523681,S3-826729901,S3-174341963,S3-733719327
S1-417134	S2-215354482,S2-296443997,S2-934028071,S2-461777337,S3-630175934,S3-806739018,S3-873714464
S1-100573	S2-449266547,S2-832199305,S2-939950998,S2-914433834,S3-742700648,S3-727518487
S1-846569	S2-464764219,S3-284678975
S1-764154	S2-27039973,S2-23866819,S2-966574111,S3-437660015
S1-845196	S2-641286511,S2-955337183,S2-654752237,S3-825504804,S3-813866157
S1-93358	S2-904774445,S2-764597392,S3-519401140
S1-631313	S2-819007148,S2-929188518,S3-737630563,S3-315043541,S3-860744138
S1-511599	S3-309548754,S3-741978008,S3-49642365
S1-122108	S2-252623383,S2-376402200,S3-753051576
